network,type,edge_id,question,ground_truth
grid_11x11,road_type,I0J0,What is the road type of the edge with id I0J0? Please answer with the type string only.,
grid_11x11,road_type,B6A6,What is the road type of the edge with id B6A6? Please answer with the type string only.,
grid_11x11,road_type,A3B3,What is the road type of the edge with id A3B3? Please answer with the type string only.,
grid_11x11,road_type,J2J3,What is the road type of the edge with id J2J3? Please answer with the type string only.,
grid_11x11,road_type,D5E5,What is the road type of the edge with id D5E5? Please answer with the type string only.,
grid_11x11,road_type,D2C2,What is the road type of the edge with id D2C2? Please answer with the type string only.,
grid_11x11,road_type,C9D9,What is the road type of the edge with id C9D9? Please answer with the type string only.,
grid_11x11,road_type,B9B8,What is the road type of the edge with id B9B8? Please answer with the type string only.,
grid_11x11,road_type,J2I2,What is the road type of the edge with id J2I2? Please answer with the type string only.,
grid_11x11,road_type,B4C4,What is the road type of the edge with id B4C4? Please answer with the type string only.,
